id,name,kind,lat,lng,created_at,updated_at
1,Europe,CONT,,,"2017-12-28 04:32:12.737708","2017-12-28 04:32:12.737708"
2,"South America",CONT,,,"2017-12-28 04:32:12.740088","2017-12-28 04:32:12.740088"
3,"North America",CONT,,,"2017-12-28 04:32:12.742134","2017-12-28 04:32:12.742134"
4,"Central America",CONT,,,"2017-12-28 04:32:12.744804","2017-12-28 04:32:12.744804"
5,Caribbean,CONT,,,"2017-12-28 04:32:12.748378","2017-12-28 04:32:12.748378"
6,Africa,CONT,,,"2017-12-28 04:32:12.750547","2017-12-28 04:32:12.750547"
7,"Middle East",CONT,,,"2017-12-28 04:32:12.752543","2017-12-28 04:32:12.752543"
8,Asia,CONT,,,"2017-12-28 04:32:12.754319","2017-12-28 04:32:12.754319"
9,Pacific,CONT,,,"2017-12-28 04:32:12.756104","2017-12-28 04:32:12.756104"
10,Antarctica,CONT,,,"2017-12-28 04:32:12.757855","2017-12-28 04:32:12.757855"
11,Burundi,CNTY,,,"2017-12-28 04:32:12.785018","2017-12-28 04:32:12.785018"
12,Bujumbura,CITY,,,"2017-12-28 04:32:12.800627","2017-12-28 04:32:12.800627"
13,Comoros,CNTY,,,"2017-12-28 04:32:12.843166","2017-12-28 04:32:12.843166"
14,Moroni,CITY,,,"2017-12-28 04:32:12.846217","2017-12-28 04:32:12.846217"
15,Djibouti,CNTY,,,"2017-12-28 04:32:12.854232","2017-12-28 04:32:12.854232"
16,Djibouti,CITY,,,"2017-12-28 04:32:12.856515","2017-12-28 04:32:12.856515"
17,Eritrea,CNTY,,,"2017-12-28 04:32:12.864350","2017-12-28 04:32:12.864350"
18,Asmara,CITY,,,"2017-12-28 04:32:12.868333","2017-12-28 04:32:12.868333"
19,Ethiopia,CNTY,,,"2017-12-28 04:32:12.874133","2017-12-28 04:32:12.874133"
20,"Addis Ababa",CITY,,,"2017-12-28 04:32:12.876455","2017-12-28 04:32:12.876455"
21,Kenya,CNTY,,,"2017-12-28 04:32:12.885209","2017-12-28 04:32:12.885209"
22,Nairobi,CITY,,,"2017-12-28 04:32:12.887519","2017-12-28 04:32:12.887519"
23,Madagascar,CNTY,,,"2017-12-28 04:32:12.893648","2017-12-28 04:32:12.893648"
24,Antananarivo,CITY,,,"2017-12-28 04:32:12.899359","2017-12-28 04:32:12.899359"
25,Malawi,CNTY,,,"2017-12-28 04:32:12.905685","2017-12-28 04:32:12.905685"
26,Lilongwe,CITY,,,"2017-12-28 04:32:12.907993","2017-12-28 04:32:12.907993"
27,Mauritius,CNTY,,,"2017-12-28 04:32:12.916193","2017-12-28 04:32:12.916193"
28,"Port Louis",CITY,,,"2017-12-28 04:32:12.918934","2017-12-28 04:32:12.918934"
29,Mozambique,CNTY,,,"2017-12-28 04:32:12.924775","2017-12-28 04:32:12.924775"
30,Maputo,CITY,,,"2017-12-28 04:32:12.927867","2017-12-28 04:32:12.927867"
31,Rwanda,CNTY,,,"2017-12-28 04:32:12.936540","2017-12-28 04:32:12.936540"
32,Kigali,CITY,,,"2017-12-28 04:32:12.938963","2017-12-28 04:32:12.938963"
33,Seychelles,CNTY,,,"2017-12-28 04:32:12.945454","2017-12-28 04:32:12.945454"
34,Victoria,CITY,,,"2017-12-28 04:32:12.949705","2017-12-28 04:32:12.949705"
35,Somalia,CNTY,,,"2017-12-28 04:32:12.955772","2017-12-28 04:32:12.955772"
36,Mogadishu,CITY,,,"2017-12-28 04:32:12.958484","2017-12-28 04:32:12.958484"
37,Tanzania,CNTY,,,"2017-12-28 04:32:12.969061","2017-12-28 04:32:12.969061"
38,Dodoma,CITY,,,"2017-12-28 04:32:12.971359","2017-12-28 04:32:12.971359"
39,Uganda,CNTY,,,"2017-12-28 04:32:12.977938","2017-12-28 04:32:12.977938"
40,Kampala,CITY,,,"2017-12-28 04:32:12.980865","2017-12-28 04:32:12.980865"
41,Zambia,CNTY,,,"2017-12-28 04:32:12.988806","2017-12-28 04:32:12.988806"
42,Lusaka,CITY,,,"2017-12-28 04:32:12.991078","2017-12-28 04:32:12.991078"
43,Zimbabwe,CNTY,,,"2017-12-28 04:32:13.001191","2017-12-28 04:32:13.001191"
44,Harare,CITY,,,"2017-12-28 04:32:13.003582","2017-12-28 04:32:13.003582"
45,Angola,CNTY,,,"2017-12-28 04:32:13.009295","2017-12-28 04:32:13.009295"
46,Luanda,CITY,,,"2017-12-28 04:32:13.013876","2017-12-28 04:32:13.013876"
47,Cameroon,CNTY,,,"2017-12-28 04:32:13.021481","2017-12-28 04:32:13.021481"
48,"Yaoundé",CITY,,,"2017-12-28 04:32:13.023838","2017-12-28 04:32:13.023838"
49,"Central African Republic",CNTY,,,"2017-12-28 04:32:13.033915","2017-12-28 04:32:13.033915"
50,Bangui,CITY,,,"2017-12-28 04:32:13.037022","2017-12-28 04:32:13.037022"
51,Chad,CNTY,,,"2017-12-28 04:32:13.044346","2017-12-28 04:32:13.044346"
52,"N'Djamena",CITY,,,"2017-12-28 04:32:13.047252","2017-12-28 04:32:13.047252"
53,Congo,CNTY,,,"2017-12-28 04:32:13.055739","2017-12-28 04:32:13.055739"
54,Brazzaville,CITY,,,"2017-12-28 04:32:13.058872","2017-12-28 04:32:13.058872"
55,"Congo DR",CNTY,,,"2017-12-28 04:32:13.068070","2017-12-28 04:32:13.068070"
56,Kinshasa,CITY,,,"2017-12-28 04:32:13.070498","2017-12-28 04:32:13.070498"
57,"Equatorial Guinea",CNTY,,,"2017-12-28 04:32:13.076554","2017-12-28 04:32:13.076554"
58,Malabo,CITY,,,"2017-12-28 04:32:13.079883","2017-12-28 04:32:13.079883"
59,Gabon,CNTY,,,"2017-12-28 04:32:13.088415","2017-12-28 04:32:13.088415"
60,Libreville,CITY,,,"2017-12-28 04:32:13.091830","2017-12-28 04:32:13.091830"
61,"São Tomé and Príncipe",CNTY,,,"2017-12-28 04:32:13.100848","2017-12-28 04:32:13.100848"
62,"São Tomé",CITY,,,"2017-12-28 04:32:13.103311","2017-12-28 04:32:13.103311"
63,Algeria,CNTY,,,"2017-12-28 04:32:13.109037","2017-12-28 04:32:13.109037"
64,Egypt,CNTY,,,"2017-12-28 04:32:13.117491","2017-12-28 04:32:13.117491"
65,Morocco,CNTY,,,"2017-12-28 04:32:13.123877","2017-12-28 04:32:13.123877"
66,Libya,CNTY,,,"2017-12-28 04:32:13.130174","2017-12-28 04:32:13.130174"
67,Tunisia,CNTY,,,"2017-12-28 04:32:13.137706","2017-12-28 04:32:13.137706"
68,"South Sudan",CNTY,,,"2017-12-28 04:32:13.143024","2017-12-28 04:32:13.143024"
69,Juba,CITY,,,"2017-12-28 04:32:13.146245","2017-12-28 04:32:13.146245"
70,Sudan,CNTY,,,"2017-12-28 04:32:13.155178","2017-12-28 04:32:13.155178"
71,Khartoum,CITY,,,"2017-12-28 04:32:13.157904","2017-12-28 04:32:13.157904"
72,"South Africa",CNTY,,,"2017-12-28 04:32:13.165207","2017-12-28 04:32:13.165207"
73,Botswana,CNTY,,,"2017-12-28 04:32:13.171374","2017-12-28 04:32:13.171374"
74,Gaborone,CITY,,,"2017-12-28 04:32:13.173728","2017-12-28 04:32:13.173728"
75,Lesotho,CNTY,,,"2017-12-28 04:32:13.180123","2017-12-28 04:32:13.180123"
76,Maseru,CITY,,,"2017-12-28 04:32:13.184673","2017-12-28 04:32:13.184673"
77,Namibia,CNTY,,,"2017-12-28 04:32:13.191581","2017-12-28 04:32:13.191581"
78,Windhoek,CITY,,,"2017-12-28 04:32:13.200682","2017-12-28 04:32:13.200682"
79,Swaziland,CNTY,,,"2017-12-28 04:32:13.207371","2017-12-28 04:32:13.207371"
80,Lobamba,CITY,,,"2017-12-28 04:32:13.210092","2017-12-28 04:32:13.210092"
81,Benin,CNTY,,,"2017-12-28 04:32:13.219333","2017-12-28 04:32:13.219333"
82,Porto-Novo,CITY,,,"2017-12-28 04:32:13.222313","2017-12-28 04:32:13.222313"
83,"Burkina Faso",CNTY,,,"2017-12-28 04:32:13.228737","2017-12-28 04:32:13.228737"
84,Ouagadougou,CITY,,,"2017-12-28 04:32:13.233253","2017-12-28 04:32:13.233253"
85,"Cape Verde",CNTY,,,"2017-12-28 04:32:13.240535","2017-12-28 04:32:13.240535"
86,Praia,CITY,,,"2017-12-28 04:32:13.242937","2017-12-28 04:32:13.242937"
87,"Côte d'Ivoire",CNTY,,,"2017-12-28 04:32:13.253014","2017-12-28 04:32:13.253014"
88,Gambia,CNTY,,,"2017-12-28 04:32:13.258570","2017-12-28 04:32:13.258570"
89,Ghana,CNTY,,,"2017-12-28 04:32:13.267521","2017-12-28 04:32:13.267521"
90,Guinea,CNTY,,,"2017-12-28 04:32:13.272876","2017-12-28 04:32:13.272876"
91,Conakry,CITY,,,"2017-12-28 04:32:13.275314","2017-12-28 04:32:13.275314"
92,Guinea-Bissau,CNTY,,,"2017-12-28 04:32:13.285631","2017-12-28 04:32:13.285631"
93,Bissau,CITY,,,"2017-12-28 04:32:13.289643","2017-12-28 04:32:13.289643"
94,Liberia,CNTY,,,"2017-12-28 04:32:13.301129","2017-12-28 04:32:13.301129"
95,Monrovia,CITY,,,"2017-12-28 04:32:13.305357","2017-12-28 04:32:13.305357"
96,Mali,CNTY,,,"2017-12-28 04:32:13.317438","2017-12-28 04:32:13.317438"
97,Bamako,CITY,,,"2017-12-28 04:32:13.321838","2017-12-28 04:32:13.321838"
98,Mauritania,CNTY,,,"2017-12-28 04:32:13.334344","2017-12-28 04:32:13.334344"
99,Niger,CNTY,,,"2017-12-28 04:32:13.342116","2017-12-28 04:32:13.342116"
100,Niamey,CITY,,,"2017-12-28 04:32:13.346565","2017-12-28 04:32:13.346565"
101,Nigeria,CNTY,,,"2017-12-28 04:32:13.358145","2017-12-28 04:32:13.358145"
102,Senegal,CNTY,,,"2017-12-28 04:32:13.368223","2017-12-28 04:32:13.368223"
103,Dakar,CITY,,,"2017-12-28 04:32:13.371555","2017-12-28 04:32:13.371555"
104,"Sierra Leone",CNTY,,,"2017-12-28 04:32:13.379220","2017-12-28 04:32:13.379220"
105,Freetown,CITY,,,"2017-12-28 04:32:13.383917","2017-12-28 04:32:13.383917"
106,Togo,CNTY,,,"2017-12-28 04:32:13.391334","2017-12-28 04:32:13.391334"
107,"Lomé",CITY,,,"2017-12-28 04:32:13.394219","2017-12-28 04:32:13.394219"
108,Antarctica,CNTY,,,"2017-12-28 04:32:13.403085","2017-12-28 04:32:13.403085"
109,Kazakhstan,CNTY,,,"2017-12-28 04:32:13.410149","2017-12-28 04:32:13.410149"
110,Astana,CITY,,,"2017-12-28 04:32:13.413104","2017-12-28 04:32:13.413104"
111,Kyrgyzstan,CNTY,,,"2017-12-28 04:32:13.422812","2017-12-28 04:32:13.422812"
112,Bishkek,CITY,,,"2017-12-28 04:32:13.425228","2017-12-28 04:32:13.425228"
113,Tajikistan,CNTY,,,"2017-12-28 04:32:13.433981","2017-12-28 04:32:13.433981"
114,Dushanbe,CITY,,,"2017-12-28 04:32:13.436446","2017-12-28 04:32:13.436446"
115,Turkmenistan,CNTY,,,"2017-12-28 04:32:13.442210","2017-12-28 04:32:13.442210"
116,Ashgabat,CITY,,,"2017-12-28 04:32:13.445596","2017-12-28 04:32:13.445596"
117,Uzbekistan,CNTY,,,"2017-12-28 04:32:13.454353","2017-12-28 04:32:13.454353"
118,Tashkent,CITY,,,"2017-12-28 04:32:13.456759","2017-12-28 04:32:13.456759"
119,Japan,CNTY,,,"2017-12-28 04:32:13.463245","2017-12-28 04:32:13.463245"
120,Tokyo,CITY,,,"2017-12-28 04:32:13.467306","2017-12-28 04:32:13.467306"
121,"North Korea",CNTY,,,"2017-12-28 04:32:13.472989","2017-12-28 04:32:13.472989"
122,Pyongyang,CITY,,,"2017-12-28 04:32:13.475524","2017-12-28 04:32:13.475524"
123,"South Korea",CNTY,,,"2017-12-28 04:32:13.482209","2017-12-28 04:32:13.482209"
124,Seoul,CITY,,,"2017-12-28 04:32:13.485847","2017-12-28 04:32:13.485847"
125,China,CNTY,,,"2017-12-28 04:32:13.491679","2017-12-28 04:32:13.491679"
126,Beijing,CITY,,,"2017-12-28 04:32:13.494101","2017-12-28 04:32:13.494101"
127,Taiwan,CNTY,,,"2017-12-28 04:32:13.501354","2017-12-28 04:32:13.501354"
128,Taipei,CITY,,,"2017-12-28 04:32:13.503828","2017-12-28 04:32:13.503828"
129,Mongolia,CNTY,,,"2017-12-28 04:32:13.509727","2017-12-28 04:32:13.509727"
130,"Ulan Bator",CITY,,,"2017-12-28 04:32:13.513543","2017-12-28 04:32:13.513543"
131,Pakistan,CNTY,,,"2017-12-28 04:32:13.520730","2017-12-28 04:32:13.520730"
132,Islamabad,CITY,,,"2017-12-28 04:32:13.522999","2017-12-28 04:32:13.522999"
133,India,CNTY,,,"2017-12-28 04:32:13.529060","2017-12-28 04:32:13.529060"
134,"New Delhi",CITY,,,"2017-12-28 04:32:13.532590","2017-12-28 04:32:13.532590"
135,Bangladesh,CNTY,,,"2017-12-28 04:32:13.538586","2017-12-28 04:32:13.538586"
136,Dhaka,CITY,,,"2017-12-28 04:32:13.540905","2017-12-28 04:32:13.540905"
137,Nepal,CNTY,,,"2017-12-28 04:32:13.547560","2017-12-28 04:32:13.547560"
138,Kathmandu,CITY,,,"2017-12-28 04:32:13.551019","2017-12-28 04:32:13.551019"
139,"Sri Lanka",CNTY,,,"2017-12-28 04:32:13.557293","2017-12-28 04:32:13.557293"
140,Colombo,CITY,,,"2017-12-28 04:32:13.559765","2017-12-28 04:32:13.559765"
141,Bhutan,CNTY,,,"2017-12-28 04:32:13.567052","2017-12-28 04:32:13.567052"
142,Thimphu,CITY,,,"2017-12-28 04:32:13.569344","2017-12-28 04:32:13.569344"
143,Maldives,CNTY,,,"2017-12-28 04:32:13.574842","2017-12-28 04:32:13.574842"
144,"Malé",CITY,,,"2017-12-28 04:32:13.577580","2017-12-28 04:32:13.577580"
145,Afghanistan,CNTY,,,"2017-12-28 04:32:13.584625","2017-12-28 04:32:13.584625"
146,Kabul,CITY,,,"2017-12-28 04:32:13.586818","2017-12-28 04:32:13.586818"
147,Indonesia,CNTY,,,"2017-12-28 04:32:13.592307","2017-12-28 04:32:13.592307"
148,Jakarta,CITY,,,"2017-12-28 04:32:13.594534","2017-12-28 04:32:13.594534"
149,Malaysia,CNTY,,,"2017-12-28 04:32:13.601058","2017-12-28 04:32:13.601058"
150,"Kuala Lumpur",CITY,,,"2017-12-28 04:32:13.607373","2017-12-28 04:32:13.607373"
151,Singapore,CNTY,,,"2017-12-28 04:32:13.614953","2017-12-28 04:32:13.614953"
152,Singapore,CITY,,,"2017-12-28 04:32:13.618148","2017-12-28 04:32:13.618148"
153,Thailand,CNTY,,,"2017-12-28 04:32:13.624165","2017-12-28 04:32:13.624165"
154,Bangkok,CITY,,,"2017-12-28 04:32:13.626666","2017-12-28 04:32:13.626666"
155,Philippines,CNTY,,,"2017-12-28 04:32:13.633615","2017-12-28 04:32:13.633615"
156,Manila,CITY,,,"2017-12-28 04:32:13.635906","2017-12-28 04:32:13.635906"
157,Vietnam,CNTY,,,"2017-12-28 04:32:13.641765","2017-12-28 04:32:13.641765"
158,Hanoi,CITY,,,"2017-12-28 04:32:13.644772","2017-12-28 04:32:13.644772"
159,Brunei,CNTY,,,"2017-12-28 04:32:13.652100","2017-12-28 04:32:13.652100"
160,"Bandar Seri Begawan",CITY,,,"2017-12-28 04:32:13.654428","2017-12-28 04:32:13.654428"
161,Myanmar,CNTY,,,"2017-12-28 04:32:13.660259","2017-12-28 04:32:13.660259"
162,Naypyidaw,CITY,,,"2017-12-28 04:32:13.662632","2017-12-28 04:32:13.662632"
163,Cambodia,CNTY,,,"2017-12-28 04:32:13.669682","2017-12-28 04:32:13.669682"
164,"Phnom Penh",CITY,,,"2017-12-28 04:32:13.672005","2017-12-28 04:32:13.672005"
165,Timor-Leste,CNTY,,,"2017-12-28 04:32:13.678700","2017-12-28 04:32:13.678700"
166,Dili,CITY,,,"2017-12-28 04:32:13.683227","2017-12-28 04:32:13.683227"
167,Laos,CNTY,,,"2017-12-28 04:32:13.688992","2017-12-28 04:32:13.688992"
168,Vientiane,CITY,,,"2017-12-28 04:32:13.691374","2017-12-28 04:32:13.691374"
169,Cuba,CNTY,,,"2017-12-28 04:32:13.698391","2017-12-28 04:32:13.698391"
170,Jamaica,CNTY,,,"2017-12-28 04:32:13.704584","2017-12-28 04:32:13.704584"
171,"Dominican Republic",CNTY,,,"2017-12-28 04:32:13.709607","2017-12-28 04:32:13.709607"
172,Haiti,CNTY,,,"2017-12-28 04:32:13.716957","2017-12-28 04:32:13.716957"
173,Port-au-Prince,CITY,,,"2017-12-28 04:32:13.719295","2017-12-28 04:32:13.719295"
174,"Antigua and Barbuda",CNTY,,,"2017-12-28 04:32:13.724966","2017-12-28 04:32:13.724966"
175,"Saint John's",CITY,,,"2017-12-28 04:32:13.727689","2017-12-28 04:32:13.727689"
176,Bahamas,CNTY,,,"2017-12-28 04:32:13.733654","2017-12-28 04:32:13.733654"
177,Nassau,CITY,,,"2017-12-28 04:32:13.736031","2017-12-28 04:32:13.736031"
178,Barbados,CNTY,,,"2017-12-28 04:32:13.742001","2017-12-28 04:32:13.742001"
179,Bridgetown,CITY,,,"2017-12-28 04:32:13.745393","2017-12-28 04:32:13.745393"
180,Dominica,CNTY,,,"2017-12-28 04:32:13.752704","2017-12-28 04:32:13.752704"
181,Roseau,CITY,,,"2017-12-28 04:32:13.754941","2017-12-28 04:32:13.754941"
182,Grenada,CNTY,,,"2017-12-28 04:32:13.761758","2017-12-28 04:32:13.761758"
183,"St. George's",CITY,,,"2017-12-28 04:32:13.764965","2017-12-28 04:32:13.764965"
184,"Saint Kitts and Nevis",CNTY,,,"2017-12-28 04:32:13.771016","2017-12-28 04:32:13.771016"
185,Basseterre,CITY,,,"2017-12-28 04:32:13.773310","2017-12-28 04:32:13.773310"
186,"Saint Lucia",CNTY,,,"2017-12-28 04:32:13.780626","2017-12-28 04:32:13.780626"
187,Castries,CITY,,,"2017-12-28 04:32:13.784115","2017-12-28 04:32:13.784115"
188,"Saint Vincent and the Grenadines",CNTY,,,"2017-12-28 04:32:13.789962","2017-12-28 04:32:13.789962"
189,Kingstown,CITY,,,"2017-12-28 04:32:13.792289","2017-12-28 04:32:13.792289"
190,"Trinidad and Tobago",CNTY,,,"2017-12-28 04:32:13.798648","2017-12-28 04:32:13.798648"
